"phenotypeID" "num_of_snps" "num_of_pos_snsps" "proportion_of_pos_snps" "mean_beta" "pos_to_neg_effect_weight"
"289" "PGS001099" 10 4 0.4 -0.00427308662 0.181717527262923
"290" "PGS001100" 7 3 0.428571428571429 -0.00294487475714286 0.379214884081857
"291" "PGS001101" 27 8 0.296296296296296 -0.00546123667037037 0.389181877919282
"292" "PGS001102" 26 10 0.384615384615385 -0.00742918791153846 0.369642279446035
"293" "PGS001103" 35 13 0.371428571428571 -0.00239678685714286 0.575008701988734
"294" "PGS001104" 35 11 0.314285714285714 -0.00234464530314286 0.633887067824405
"295" "PGS001105" 24 10 0.416666666666667 -0.006428094625 0.39648582521408
"296" "PGS001106" 23 9 0.391304347826087 -0.00851792173043478 0.314774816480824
"297" "PGS001107" 1 0 0 -0.001742341 0
"298" "PGS001108" 26 10 0.384615384615385 -0.514850264230769 0.591754527066481
"299" "PGS001109" 4 3 0.75 0.00244153375 5.42405017417815
"300" "PGS001113" 1 0 0 -0.002422148 0
"301" "PGS001115" 7 5 0.714285714285714 0.00184059542857143 2.6465689217619
"302" "PGS001118" 2 1 0.5 -0.002323729 0.262849766869671
"303" "PGS001119" 15 10 0.666666666666667 0.00863226771333333 5.30062132917209
"304" "PGS001120" 16 9 0.5625 0.00336753776875 2.15012092858689
"305" "PGS001121" 6 5 0.833333333333333 0.0174743561666667 5.68696060528169
"306" "PGS001122" 14 8 0.571428571428571 0.000348991171428571 1.60313634388855
"307" "PGS001124" 10 2 0.2 -0.00102965235 0.551806817491791
"308" "PGS001127" 8 3 0.375 -0.000889605875 0.510955062009098
"309" "PGS001128" 4 1 0.25 -0.00079235475 0.448733611602858
"310" "PGS001130" 2 2 1 0.01589415 Inf
"311" "PGS001132" 2 1 0.5 0.00289269885 16.5657727747116
"312" "PGS001133" 19 8 0.421052631578947 -0.000156571978947369 0.98323824058859
"313" "PGS001134" 11 5 0.454545454545455 -0.0157600361818182 0.466105826537947
"314" "PGS001135" 3 3 1 0.00512749866666667 Inf
"315" "PGS001140" 4 2 0.5 0.009445133425 4.74344955866612
"316" "PGS001141" 9 3 0.333333333333333 -0.000798564566666667 0.532514075935353
"317" "PGS001142" 2 2 1 0.34576505 Inf
"318" "PGS001143" 1 1 1 0.6625783 Inf
"319" "PGS001144" 29 11 0.379310344827586 -0.000170735976206897 0.708659635330785
"320" "PGS001145" 26 11 0.423076923076923 -0.00016023638 0.714339611915551
"321" "PGS001146" 28 9 0.321428571428571 -0.000223234165714286 0.600255529724414
"322" "PGS001147" 25 10 0.4 -0.0009481121956 0.514076298327471
"323" "PGS001148" 30 11 0.366666666666667 -0.00353040953 0.443357104304803
"324" "PGS001149" 29 12 0.413793103448276 -0.0039255393237931 0.588857482477897
"325" "PGS001150" 2 2 1 0.0004813361 Inf
"326" "PGS001151" 24 8 0.333333333333333 -0.0003145294585 0.194010149340394
"327" "PGS001152" 19 12 0.631578947368421 8.39992647368421e-05 1.09391368280199
"328" "PGS001154" 38 17 0.447368421052632 0.00931124723947368 1.36082447999862
"329" "PGS001155" 42 24 0.571428571428571 0.0245634522619048 1.90792689678659
"330" "PGS001156" 28 14 0.5 0.0108063665928571 1.32374379773627
"331" "PGS001157" 49 28 0.571428571428571 0.0186793512857143 1.76010673451082
"332" "PGS001158" 28 12 0.428571428571429 -0.000589401264285714 0.644760697554072
"333" "PGS001159" 32 10 0.3125 -0.00047882349625 0.678286357413872
"334" "PGS001160" 27 11 0.407407407407407 -0.00142529866666667 0.648098471940727
"335" "PGS001161" 46 26 0.565217391304348 0.0312278739804348 1.68478183066342
"336" "PGS001162" 33 13 0.393939393939394 -0.00710562612727273 0.489098218426015
"337" "PGS001163" 13 5 0.384615384615385 -0.000511862173076923 0.188522020276205
"338" "PGS001165" 30 13 0.433333333333333 -0.000163126445666667 0.684237573661092
"339" "PGS001166" 29 12 0.413793103448276 -0.000582602574827586 0.656610393279128
"340" "PGS001167" 32 9 0.28125 -0.0005358439140625 0.664488950099967
"341" "PGS001168" 29 12 0.413793103448276 -0.00159988021206897 0.623260404181429
"342" "PGS001169" 29 10 0.344827586206897 -0.00310796788275862 0.628714670213994
"343" "PGS001170" 8 4 0.5 -0.00018220647925 0.768085238087296
"344" "PGS001171" 6 3 0.5 0.00520918578333333 8.53292795700923
"345" "PGS001172" 11 5 0.454545454545455 -7.61625604545455e-05 0.599659676769077
"346" "PGS001173" 12 4 0.333333333333333 -0.00151055141666667 0.465694331048285
"347" "PGS001174" 2 1 0.5 -0.0040937375 0.224865445697813
"348" "PGS001175" 5 3 0.6 0.006525308 2.22089961741338
"349" "PGS001176" 14 6 0.428571428571429 -1.47150011428571e-05 0.944429836675934
"350" "PGS001177" 8 3 0.375 0.0070862264625 1.77665768148789
"351" "PGS001178" 14 10 0.714285714285714 0.000543071091428571 4.72877036053088
"352" "PGS001180" 15 8 0.533333333333333 -7.6579414e-06 0.897678823726567
"353" "PGS001181" 2 2 1 0.0174335755 Inf
"354" "PGS001183" 13 5 0.384615384615385 -0.0326575193076923 0.368995071580906
"355" "PGS001184" 20 6 0.3 -0.0007563523405 0.263189014524036
"356" "PGS001185" 5 3 0.6 0.00120359966 1.47825681619468
"357" "PGS001186" 8 4 0.5 0.015420568125 3.92867528262776
"358" "PGS001187" 9 5 0.555555555555556 4.71258066666667e-05 1.23772033839027
